Event,Time,Voltage1,Voltage2
9,-4.840065710e-03,5.707664218e-02,-6.021352832e-02
9,-4.820065710e-03,5.788066214e-02,-7.227383168e-02
9,-4.800065710e-03,5.788066214e-02,-9.639443840e-02
9,-4.780065710e-03,5.627262221e-02,-8.433413504e-02
9,-4.760065710e-03,5.948870208e-02,-7.629393280e-02
9,-4.740065710e-03,6.029272205e-02,-6.825373056e-02
9,-4.720065710e-03,5.948870208e-02,-5.619342720e-02
9,-4.700065710e-03,6.029272205e-02,-5.619342720e-02
9,-4.680065710e-03,6.109674202e-02,-4.011302272e-02
9,-4.660065710e-03,6.190076198e-02,-4.413312384e-02
9,-4.640065710e-03,6.109674202e-02,-6.021352832e-02
9,-4.620065710e-03,6.029272205e-02,-5.217332608e-02
9,-4.600065710e-03,6.029272205e-02,-5.217332608e-02
9,-4.580065710e-03,6.029272205e-02,-4.011302272e-02
9,-4.560065710e-03,6.029272205e-02,-4.011302272e-02
9,-4.540065710e-03,6.270478195e-02,-3.609292160e-02
9,-4.520065710e-03,6.350880192e-02,-3.609292160e-02
9,-4.500065710e-03,6.350880192e-02,-5.619342720e-02
9,-4.480065710e-03,6.431282189e-02,-5.217332608e-02
9,-4.460065710e-03,6.350880192e-02,-5.619342720e-02
9,-4.440065710e-03,6.270478195e-02,-6.021352832e-02
9,-4.420065710e-03,6.431282189e-02,-5.619342720e-02
9,-4.400065710e-03,6.511684186e-02,-7.227383168e-02
9,-4.380065710e-03,6.190076198e-02,-7.227383168e-02
9,-4.360065710e-03,6.190076198e-02,-8.031403392e-02
9,-4.340065710e-03,6.431282189e-02,-7.629393280e-02
9,-4.320065710e-03,6.511684186e-02,-8.031403392e-02
9,-4.300065710e-03,6.672488179e-02,-9.237433728e-02
9,-4.280065710e-03,6.511684186e-02,-7.227383168e-02
9,-4.260065710e-03,6.350880192e-02,-1.004145395e-01
9,-4.240065710e-03,6.029272205e-02,-1.325753485e-01
9,-4.220065710e-03,6.109674202e-02,-9.639443840e-02
9,-4.200065710e-03,6.270478195e-02,-9.237433728e-02
9,-4.180065710e-03,6.431282189e-02,-8.835423616e-02
9,-4.160065710e-03,6.431282189e-02,-8.031403392e-02
9,-4.140065710e-03,6.190076198e-02,-8.433413504e-02
9,-4.120065710e-03,6.190076198e-02,-8.835423616e-02
9,-4.100065710e-03,6.431282189e-02,-7.629393280e-02
9,-4.080065710e-03,6.511684186e-02,-9.639443840e-02
9,-4.060065710e-03,6.431282189e-02,-9.237433728e-02
9,-4.040065710e-03,6.270478195e-02,-9.237433728e-02
9,-4.020065710e-03,6.431282189e-02,-9.639443840e-02
9,-4.000065710e-03,6.350880192e-02,-1.044346406e-01
9,-3.980065710e-03,6.350880192e-02,-1.084547418e-01
9,-3.960065710e-03,6.592086182e-02,-1.164949440e-01
9,-3.940065710e-03,6.511684186e-02,-1.004145395e-01
9,-3.920065710e-03,6.592086182e-02,-8.031403392e-02
9,-3.900065710e-03,6.592086182e-02,-8.433413504e-02
9,-3.880065710e-03,6.431282189e-02,-8.031403392e-02
9,-3.860065710e-03,6.431282189e-02,-8.433413504e-02
9,-3.840065710e-03,6.431282189e-02,-6.423362944e-02
9,-3.820065710e-03,6.431282189e-02,-6.021352832e-02
9,-3.800065710e-03,6.592086182e-02,-7.227383168e-02
9,-3.780065710e-03,6.592086182e-02,-6.423362944e-02
9,-3.760065710e-03,6.350880192e-02,-6.021352832e-02
9,-3.740065710e-03,6.270478195e-02,-6.021352832e-02
9,-3.720065710e-03,6.109674202e-02,-5.619342720e-02
9,-3.700065710e-03,6.350880192e-02,-7.629393280e-02
9,-3.680065710e-03,6.350880192e-02,-7.629393280e-02
9,-3.660065710e-03,6.190076198e-02,-9.639443840e-02
9,-3.640065710e-03,6.270478195e-02,-1.004145395e-01
9,-3.620065710e-03,6.350880192e-02,-8.835423616e-02
9,-3.600065710e-03,6.592086182e-02,-8.433413504e-02
9,-3.580065710e-03,6.592086182e-02,-6.423362944e-02
9,-3.560065710e-03,6.511684186e-02,-7.227383168e-02
9,-3.540065710e-03,6.270478195e-02,-8.835423616e-02
9,-3.520065710e-03,6.431282189e-02,-8.433413504e-02
9,-3.500065710e-03,6.350880192e-02,-6.825373056e-02
9,-3.480065710e-03,6.190076198e-02,-4.815322496e-02
9,-3.460065710e-03,6.431282189e-02,-5.619342720e-02
9,-3.440065710e-03,6.511684186e-02,-4.413312384e-02
9,-3.420065710e-03,6.511684186e-02,-3.609292160e-02
9,-3.400065710e-03,6.511684186e-02,-3.207282048e-02
9,-3.380065710e-03,6.511684186e-02,-6.423362944e-02
9,-3.360065710e-03,6.431282189e-02,-1.004145395e-01
9,-3.340065710e-03,6.511684186e-02,-1.084547418e-01
9,-3.320065710e-03,6.350880192e-02,-1.044346406e-01
9,-3.300065710e-03,6.350880192e-02,-1.205150451e-01
9,-3.280065710e-03,6.350880192e-02,-1.004145395e-01
9,-3.260065710e-03,6.431282189e-02,-9.237433728e-02
9,-3.240065710e-03,6.350880192e-02,-8.835423616e-02
9,-3.220065710e-03,6.511684186e-02,-6.825373056e-02
9,-3.200065710e-03,6.592086182e-02,-7.227383168e-02
9,-3.180065710e-03,6.752890176e-02,-6.825373056e-02
9,-3.160065710e-03,6.752890176e-02,-6.021352832e-02
9,-3.140065710e-03,6.592086182e-02,-5.619342720e-02
9,-3.120065710e-03,6.431282189e-02,-6.423362944e-02
9,-3.100065710e-03,6.431282189e-02,-8.031403392e-02
9,-3.080065710e-03,6.350880192e-02,-6.423362944e-02
9,-3.060065710e-03,6.431282189e-02,-5.217332608e-02
9,-3.040065710e-03,6.270478195e-02,-6.825373056e-02
9,-3.020065710e-03,6.511684186e-02,-6.021352832e-02
9,-3.000065710e-03,6.190076198e-02,-6.021352832e-02
9,-2.980065710e-03,6.270478195e-02,-6.021352832e-02
9,-2.960065710e-03,6.109674202e-02,-6.423362944e-02
9,-2.940065710e-03,6.109674202e-02,-8.433413504e-02
9,-2.920065710e-03,6.190076198e-02,-6.423362944e-02
9,-2.900065710e-03,6.109674202e-02,-7.629393280e-02
9,-2.880065710e-03,6.029272205e-02,-7.227383168e-02
9,-2.860065710e-03,5.948870208e-02,-6.423362944e-02
9,-2.840065710e-03,5.868468211e-02,-5.619342720e-02
9,-2.820065710e-03,5.948870208e-02,-7.629393280e-02
9,-2.800065710e-03,6.029272205e-02,-8.433413504e-02
9,-2.780065710e-03,6.029272205e-02,-8.835423616e-02
9,-2.760065710e-03,5.948870208e-02,-7.629393280e-02
9,-2.740065710e-03,6.029272205e-02,-6.825373056e-02
9,-2.720065710e-03,5.868468211e-02,-6.423362944e-02
9,-2.700065710e-03,6.109674202e-02,-6.021352832e-02
9,-2.680065710e-03,6.592086182e-02,-6.825373056e-02
9,-2.660065710e-03,6.672488179e-02,-9.237433728e-02
9,-2.640065710e-03,6.431282189e-02,-1.004145395e-01
9,-2.620065710e-03,6.431282189e-02,-9.237433728e-02
9,-2.600065710e-03,6.270478195e-02,-7.629393280e-02
9,-2.580065710e-03,6.511684186e-02,-7.227383168e-02
9,-2.560065710e-03,6.431282189e-02,-7.227383168e-02
9,-2.540065710e-03,6.511684186e-02,-6.021352832e-02
9,-2.520065710e-03,6.592086182e-02,-5.619342720e-02
9,-2.500065710e-03,6.270478195e-02,-5.619342720e-02
9,-2.480065710e-03,6.511684186e-02,-6.825373056e-02
9,-2.460065710e-03,6.350880192e-02,-6.825373056e-02
9,-2.440065710e-03,6.190076198e-02,-7.629393280e-02
9,-2.420065710e-03,5.948870208e-02,-6.825373056e-02
9,-2.400065710e-03,5.868468211e-02,-8.031403392e-02
9,-2.380065710e-03,5.788066214e-02,-7.629393280e-02
9,-2.360065710e-03,6.109674202e-02,-8.031403392e-02
9,-2.340065710e-03,6.109674202e-02,-7.227383168e-02
9,-2.320065710e-03,6.270478195e-02,-6.825373056e-02
9,-2.300065710e-03,6.029272205e-02,-6.825373056e-02
9,-2.280065710e-03,5.868468211e-02,-5.619342720e-02
9,-2.260065710e-03,6.109674202e-02,-5.217332608e-02
9,-2.240065710e-03,6.029272205e-02,-5.619342720e-02
9,-2.220065710e-03,5.788066214e-02,-5.619342720e-02
9,-2.200065710e-03,6.029272205e-02,-6.423362944e-02
9,-2.180065710e-03,5.788066214e-02,-5.217332608e-02
9,-2.160065710e-03,5.868468211e-02,-8.031403392e-02
9,-2.140065710e-03,6.109674202e-02,-7.629393280e-02
9,-2.120065710e-03,6.109674202e-02,-8.031403392e-02
9,-2.100065710e-03,6.270478195e-02,-9.639443840e-02
9,-2.080065710e-03,6.350880192e-02,-9.639443840e-02
9,-2.060065710e-03,6.190076198e-02,-9.237433728e-02
9,-2.040065710e-03,6.109674202e-02,-8.031403392e-02
9,-2.020065710e-03,5.948870208e-02,-8.835423616e-02
9,-2.000065710e-03,5.707664218e-02,-8.031403392e-02
9,-1.980065710e-03,5.788066214e-02,-7.629393280e-02
9,-1.960065710e-03,5.707664218e-02,-8.031403392e-02
9,-1.940065710e-03,6.109674202e-02,-7.227383168e-02
9,-1.920065710e-03,6.109674202e-02,-7.629393280e-02
9,-1.900065710e-03,6.029272205e-02,-6.825373056e-02
9,-1.880065710e-03,6.109674202e-02,-6.825373056e-02
9,-1.860065710e-03,6.350880192e-02,-5.619342720e-02
9,-1.840065710e-03,6.350880192e-02,-5.217332608e-02
9,-1.820065710e-03,6.592086182e-02,-5.619342720e-02
9,-1.800065710e-03,6.350880192e-02,-6.021352832e-02
9,-1.780065710e-03,6.511684186e-02,-6.825373056e-02
9,-1.760065710e-03,6.511684186e-02,-5.619342720e-02
9,-1.740065710e-03,6.511684186e-02,-7.227383168e-02
9,-1.720065710e-03,6.511684186e-02,-9.237433728e-02
9,-1.700065710e-03,6.431282189e-02,-8.835423616e-02
9,-1.680065710e-03,6.350880192e-02,-1.124748429e-01
9,-1.660065710e-03,6.511684186e-02,-8.835423616e-02
9,-1.640065710e-03,6.350880192e-02,-9.237433728e-02
9,-1.620065710e-03,6.511684186e-02,-1.124748429e-01
9,-1.600065710e-03,6.350880192e-02,-1.004145395e-01
9,-1.580065710e-03,6.431282189e-02,-1.044346406e-01
9,-1.560065710e-03,6.431282189e-02,-1.044346406e-01
9,-1.540065710e-03,6.431282189e-02,-8.835423616e-02
9,-1.520065710e-03,6.270478195e-02,-9.639443840e-02
9,-1.500065710e-03,6.350880192e-02,-8.835423616e-02
9,-1.480065710e-03,6.270478195e-02,-8.433413504e-02
9,-1.460065710e-03,6.029272205e-02,-6.825373056e-02
9,-1.440065710e-03,6.109674202e-02,-5.619342720e-02
9,-1.420065710e-03,6.270478195e-02,-5.619342720e-02
9,-1.400065710e-03,6.270478195e-02,-6.825373056e-02
9,-1.380065710e-03,6.431282189e-02,-9.237433728e-02
9,-1.360065710e-03,6.672488179e-02,-8.031403392e-02
9,-1.340065710e-03,6.672488179e-02,-8.433413504e-02
9,-1.320065710e-03,6.592086182e-02,-7.227383168e-02
9,-1.300065710e-03,6.270478195e-02,-6.825373056e-02
9,-1.280065710e-03,6.511684186e-02,-7.227383168e-02
9,-1.260065710e-03,6.511684186e-02,-9.237433728e-02
9,-1.240065710e-03,6.752890176e-02,-8.433413504e-02
9,-1.220065710e-03,6.672488179e-02,-8.835423616e-02
9,-1.200065710e-03,6.592086182e-02,-1.044346406e-01
9,-1.180065710e-03,6.511684186e-02,-1.004145395e-01
9,-1.160065710e-03,6.672488179e-02,-8.433413504e-02
9,-1.140065710e-03,6.511684186e-02,-8.031403392e-02
9,-1.120065710e-03,6.350880192e-02,-8.433413504e-02
9,-1.100065710e-03,6.109674202e-02,-9.639443840e-02
9,-1.080065710e-03,6.270478195e-02,-7.227383168e-02
9,-1.060065710e-03,6.431282189e-02,-8.835423616e-02
9,-1.040065710e-03,6.350880192e-02,-8.433413504e-02
9,-1.020065710e-03,6.431282189e-02,-7.227383168e-02
9,-1.000065710e-03,6.350880192e-02,-6.021352832e-02
9,-9.800657100e-04,6.350880192e-02,-4.815322496e-02
9,-9.600657100e-04,6.270478195e-02,-5.619342720e-02
9,-9.400657100e-04,6.190076198e-02,-6.423362944e-02
9,-9.200657100e-04,6.190076198e-02,-6.423362944e-02
9,-9.000657100e-04,5.948870208e-02,-8.031403392e-02
9,-8.800657100e-04,6.190076198e-02,-7.227383168e-02
9,-8.600657100e-04,6.270478195e-02,-5.619342720e-02
9,-8.400657100e-04,6.190076198e-02,-5.217332608e-02
9,-8.200657100e-04,6.190076198e-02,-4.815322496e-02
9,-8.000657100e-04,6.431282189e-02,-4.011302272e-02
9,-7.800657100e-04,6.270478195e-02,-4.011302272e-02
9,-7.600657100e-04,6.270478195e-02,-4.413312384e-02
9,-7.400657100e-04,6.270478195e-02,-7.227383168e-02
9,-7.200657100e-04,6.190076198e-02,-5.619342720e-02
9,-7.000657100e-04,6.270478195e-02,-6.423362944e-02
9,-6.800657100e-04,6.270478195e-02,-6.423362944e-02
9,-6.600657100e-04,6.431282189e-02,-6.021352832e-02
9,-6.400657100e-04,6.109674202e-02,-4.815322496e-02
9,-6.200657100e-04,6.190076198e-02,-4.815322496e-02
9,-6.000657100e-04,6.109674202e-02,-5.619342720e-02
9,-5.800657100e-04,6.190076198e-02,-6.423362944e-02
9,-5.600657100e-04,6.190076198e-02,-7.227383168e-02
9,-5.400657100e-04,6.109674202e-02,-8.433413504e-02
9,-5.200657100e-04,6.190076198e-02,-7.227383168e-02
9,-5.000657100e-04,6.029272205e-02,-5.619342720e-02
9,-4.800657100e-04,6.029272205e-02,-5.619342720e-02
9,-4.600657100e-04,6.109674202e-02,-6.423362944e-02
9,-4.400657100e-04,6.190076198e-02,-8.031403392e-02
9,-4.200657100e-04,5.868468211e-02,-8.835423616e-02
9,-4.000657100e-04,5.868468211e-02,-8.433413504e-02
9,-3.800657100e-04,5.788066214e-02,-1.044346406e-01
9,-3.600657100e-04,5.868468211e-02,-1.406155507e-01
9,-3.400657100e-04,6.190076198e-02,-1.205150451e-01
9,-3.200657100e-04,6.190076198e-02,-1.044346406e-01
9,-3.000657100e-04,6.270478195e-02,-1.124748429e-01
9,-2.800657100e-04,6.270478195e-02,-8.835423616e-02
9,-2.600657100e-04,6.270478195e-02,-8.835423616e-02
9,-2.400657100e-04,6.029272205e-02,-1.004145395e-01
9,-2.200657100e-04,5.948870208e-02,-9.237433728e-02
9,-2.000657100e-04,5.948870208e-02,-8.433413504e-02
9,-1.800657100e-04,5.868468211e-02,-8.433413504e-02
9,-1.600657100e-04,6.029272205e-02,-8.031403392e-02
9,-1.400657100e-04,6.270478195e-02,-9.639443840e-02
9,-1.200657100e-04,6.431282189e-02,-9.237433728e-02
9,-1.000657100e-04,6.431282189e-02,-7.227383168e-02
9,-8.006571000e-05,6.431282189e-02,-7.629393280e-02
9,-6.006571000e-05,6.592086182e-02,-7.629393280e-02
9,-4.006571000e-05,6.511684186e-02,-7.227383168e-02
9,-2.006571000e-05,6.431282189e-02,-9.639443840e-02
9,-6.571000000e-08,8.923744090e-02,-1.164949440e-01
9,1.993429000e-05,9.406156070e-02,-9.237433728e-02
9,3.993429000e-05,9.245352077e-02,-1.044346406e-01
9,5.993429000e-05,9.084548083e-02,-9.237433728e-02
9,7.993429000e-05,9.004146086e-02,-1.124748429e-01
9,9.993429000e-05,8.682538099e-02,-9.639443840e-02
9,1.199342900e-04,8.200126118e-02,-1.004145395e-01
9,1.399342900e-04,8.200126118e-02,-8.031403392e-02
9,1.599342900e-04,8.039322125e-02,-7.629393280e-02
9,1.799342900e-04,7.717714138e-02,-6.423362944e-02
9,1.999342900e-04,7.717714138e-02,-6.825373056e-02
9,2.199342900e-04,7.556910144e-02,-6.825373056e-02
9,2.399342900e-04,7.315704154e-02,-8.031403392e-02
9,2.599342900e-04,6.994096166e-02,-8.031403392e-02
9,2.799342900e-04,6.833292173e-02,-1.004145395e-01
9,2.999342900e-04,6.672488179e-02,-7.227383168e-02
9,3.199342900e-04,6.672488179e-02,-8.031403392e-02
9,3.399342900e-04,6.592086182e-02,-8.031403392e-02
9,3.599342900e-04,6.672488179e-02,-6.021352832e-02
9,3.799342900e-04,6.752890176e-02,-7.629393280e-02
9,3.999342900e-04,6.672488179e-02,-5.619342720e-02
9,4.199342900e-04,6.913694170e-02,-7.629393280e-02
9,4.399342900e-04,6.833292173e-02,-7.227383168e-02
9,4.599342900e-04,6.511684186e-02,-6.825373056e-02
9,4.799342900e-04,6.431282189e-02,-7.629393280e-02
9,4.999342900e-04,6.270478195e-02,-7.227383168e-02
9,5.199342900e-04,6.109674202e-02,-6.423362944e-02
9,5.399342900e-04,6.190076198e-02,-6.423362944e-02
9,5.599342900e-04,6.270478195e-02,-5.619342720e-02
9,5.799342900e-04,6.270478195e-02,-5.217332608e-02
9,5.999342900e-04,6.270478195e-02,-5.217332608e-02
9,6.199342900e-04,6.592086182e-02,-6.825373056e-02
9,6.399342900e-04,6.511684186e-02,-6.021352832e-02
9,6.599342900e-04,6.431282189e-02,-6.423362944e-02
9,6.799342900e-04,6.431282189e-02,-5.619342720e-02
9,6.999342900e-04,6.350880192e-02,-1.084547418e-01
9,7.199342900e-04,6.350880192e-02,-8.835423616e-02
9,7.399342900e-04,6.270478195e-02,-8.031403392e-02
9,7.599342900e-04,6.270478195e-02,-6.423362944e-02
9,7.799342900e-04,6.190076198e-02,-6.423362944e-02
9,7.999342900e-04,6.109674202e-02,-7.227383168e-02
9,8.199342900e-04,6.109674202e-02,-7.629393280e-02
9,8.399342900e-04,6.029272205e-02,-7.629393280e-02
9,8.599342900e-04,5.948870208e-02,-7.227383168e-02
9,8.799342900e-04,5.868468211e-02,-8.433413504e-02
9,8.999342900e-04,5.788066214e-02,-8.835423616e-02
9,9.199342900e-04,5.948870208e-02,-1.084547418e-01
9,9.399342900e-04,5.868468211e-02,-8.031403392e-02
9,9.599342900e-04,6.109674202e-02,-8.835423616e-02
9,9.799342900e-04,6.270478195e-02,-6.825373056e-02
9,9.999342900e-04,6.029272205e-02,-4.815322496e-02
9,1.019934290e-03,6.190076198e-02,-6.021352832e-02
9,1.039934290e-03,6.109674202e-02,-7.629393280e-02
9,1.059934290e-03,6.029272205e-02,-8.433413504e-02
9,1.079934290e-03,6.270478195e-02,-8.433413504e-02
9,1.099934290e-03,6.109674202e-02,-6.021352832e-02
9,1.119934290e-03,6.350880192e-02,-6.423362944e-02
9,1.139934290e-03,6.190076198e-02,-7.227383168e-02
9,1.159934290e-03,6.270478195e-02,-6.423362944e-02
9,1.179934290e-03,6.511684186e-02,-6.423362944e-02
9,1.199934290e-03,6.190076198e-02,-6.423362944e-02
9,1.219934290e-03,6.109674202e-02,-6.423362944e-02
9,1.239934290e-03,6.350880192e-02,-8.031403392e-02
9,1.259934290e-03,6.270478195e-02,-7.629393280e-02
9,1.279934290e-03,6.350880192e-02,-6.021352832e-02
9,1.299934290e-03,6.350880192e-02,-6.825373056e-02
9,1.319934290e-03,6.431282189e-02,-1.164949440e-01
9,1.339934290e-03,6.190076198e-02,-1.044346406e-01
9,1.359934290e-03,6.270478195e-02,-8.433413504e-02
9,1.379934290e-03,6.270478195e-02,-6.825373056e-02
9,1.399934290e-03,6.270478195e-02,-5.619342720e-02
9,1.419934290e-03,6.029272205e-02,-4.815322496e-02
9,1.439934290e-03,6.109674202e-02,-5.217332608e-02
9,1.459934290e-03,6.109674202e-02,-6.021352832e-02
9,1.479934290e-03,5.948870208e-02,-4.413312384e-02
9,1.499934290e-03,5.788066214e-02,-4.815322496e-02
9,1.519934290e-03,5.948870208e-02,-4.815322496e-02
9,1.539934290e-03,5.948870208e-02,-5.619342720e-02
9,1.559934290e-03,6.029272205e-02,-5.619342720e-02
9,1.579934290e-03,6.029272205e-02,-4.815322496e-02
9,1.599934290e-03,6.109674202e-02,-4.815322496e-02
9,1.619934290e-03,6.431282189e-02,-5.619342720e-02
9,1.639934290e-03,6.672488179e-02,-5.217332608e-02
9,1.659934290e-03,6.431282189e-02,-4.413312384e-02
9,1.679934290e-03,6.350880192e-02,-4.413312384e-02
9,1.699934290e-03,6.350880192e-02,-4.413312384e-02
9,1.719934290e-03,6.431282189e-02,-5.217332608e-02
9,1.739934290e-03,6.431282189e-02,-4.413312384e-02
9,1.759934290e-03,6.270478195e-02,-3.207282048e-02
9,1.779934290e-03,6.190076198e-02,-4.413312384e-02
9,1.799934290e-03,6.190076198e-02,-8.031403392e-02
9,1.819934290e-03,6.029272205e-02,-8.031403392e-02
9,1.839934290e-03,6.109674202e-02,-1.044346406e-01
9,1.859934290e-03,6.350880192e-02,-1.285552474e-01
9,1.879934290e-03,6.029272205e-02,-1.044346406e-01
9,1.899934290e-03,6.109674202e-02,-7.629393280e-02
9,1.919934290e-03,6.190076198e-02,-6.423362944e-02
9,1.939934290e-03,6.109674202e-02,-6.825373056e-02
9,1.959934290e-03,5.948870208e-02,-6.423362944e-02
9,1.979934290e-03,5.948870208e-02,-5.619342720e-02
9,1.999934290e-03,5.948870208e-02,-7.227383168e-02
9,2.019934290e-03,6.029272205e-02,-9.237433728e-02
9,2.039934290e-03,6.270478195e-02,-8.835423616e-02
9,2.059934290e-03,6.350880192e-02,-6.423362944e-02
9,2.079934290e-03,6.350880192e-02,-4.815322496e-02
9,2.099934290e-03,6.511684186e-02,-4.011302272e-02
9,2.119934290e-03,6.592086182e-02,-6.021352832e-02
9,2.139934290e-03,6.511684186e-02,-6.423362944e-02
9,2.159934290e-03,6.431282189e-02,-6.423362944e-02
9,2.179934290e-03,6.431282189e-02,-7.227383168e-02
9,2.199934290e-03,6.431282189e-02,-7.227383168e-02
9,2.219934290e-03,6.270478195e-02,-8.433413504e-02
9,2.239934290e-03,6.350880192e-02,-8.031403392e-02
9,2.259934290e-03,6.350880192e-02,-8.031403392e-02
9,2.279934290e-03,6.270478195e-02,-1.004145395e-01
9,2.299934290e-03,6.350880192e-02,-9.639443840e-02
9,2.319934290e-03,6.270478195e-02,-1.084547418e-01
9,2.339934290e-03,6.270478195e-02,-1.245351462e-01
9,2.359934290e-03,5.948870208e-02,-1.164949440e-01
9,2.379934290e-03,6.029272205e-02,-1.325753485e-01
9,2.399934290e-03,6.029272205e-02,-1.124748429e-01
9,2.419934290e-03,6.270478195e-02,-1.205150451e-01
9,2.439934290e-03,6.109674202e-02,-9.237433728e-02
9,2.459934290e-03,6.029272205e-02,-9.639443840e-02
9,2.479934290e-03,6.190076198e-02,-9.237433728e-02
9,2.499934290e-03,6.270478195e-02,-7.227383168e-02
9,2.519934290e-03,6.431282189e-02,-7.227383168e-02
9,2.539934290e-03,6.190076198e-02,-5.217332608e-02
9,2.559934290e-03,6.190076198e-02,-8.031403392e-02
9,2.579934290e-03,6.029272205e-02,-6.423362944e-02
9,2.599934290e-03,6.029272205e-02,-6.825373056e-02
9,2.619934290e-03,5.948870208e-02,-7.629393280e-02
9,2.639934290e-03,5.788066214e-02,-6.423362944e-02
9,2.659934290e-03,5.627262221e-02,-4.815322496e-02
9,2.679934290e-03,5.707664218e-02,-6.021352832e-02
9,2.699934290e-03,5.707664218e-02,-8.031403392e-02
9,2.719934290e-03,5.627262221e-02,-1.084547418e-01
9,2.739934290e-03,5.546860224e-02,-9.237433728e-02
9,2.759934290e-03,5.466458227e-02,-7.629393280e-02
9,2.779934290e-03,5.627262221e-02,-6.021352832e-02
9,2.799934290e-03,5.788066214e-02,-5.217332608e-02
9,2.819934290e-03,6.029272205e-02,-6.825373056e-02
9,2.839934290e-03,6.029272205e-02,-8.031403392e-02
9,2.859934290e-03,6.029272205e-02,-7.227383168e-02
9,2.879934290e-03,5.707664218e-02,-8.031403392e-02
9,2.899934290e-03,5.868468211e-02,-7.227383168e-02
9,2.919934290e-03,5.948870208e-02,-6.423362944e-02
9,2.939934290e-03,6.109674202e-02,-6.021352832e-02
9,2.959934290e-03,6.190076198e-02,-8.433413504e-02
9,2.979934290e-03,6.270478195e-02,-8.031403392e-02
9,2.999934290e-03,6.350880192e-02,-7.629393280e-02
9,3.019934290e-03,6.270478195e-02,-8.433413504e-02
9,3.039934290e-03,6.431282189e-02,-8.031403392e-02
9,3.059934290e-03,6.270478195e-02,-8.031403392e-02
9,3.079934290e-03,6.350880192e-02,-9.237433728e-02
9,3.099934290e-03,6.109674202e-02,-1.044346406e-01
9,3.119934290e-03,6.270478195e-02,-9.237433728e-02
9,3.139934290e-03,6.672488179e-02,-7.629393280e-02
9,3.159934290e-03,6.592086182e-02,-7.629393280e-02
9,3.179934290e-03,6.431282189e-02,-6.825373056e-02
9,3.199934290e-03,6.431282189e-02,-5.217332608e-02
9,3.219934290e-03,6.350880192e-02,-5.619342720e-02
9,3.239934290e-03,6.109674202e-02,-6.021352832e-02
9,3.259934290e-03,6.190076198e-02,-9.237433728e-02
9,3.279934290e-03,6.029272205e-02,-1.004145395e-01
9,3.299934290e-03,6.109674202e-02,-1.004145395e-01
9,3.319934290e-03,6.109674202e-02,-1.004145395e-01
9,3.339934290e-03,6.190076198e-02,-9.639443840e-02
9,3.359934290e-03,6.109674202e-02,-1.164949440e-01
9,3.379934290e-03,6.190076198e-02,-1.245351462e-01
9,3.399934290e-03,6.190076198e-02,-1.164949440e-01
9,3.419934290e-03,6.190076198e-02,-8.433413504e-02
9,3.439934290e-03,6.029272205e-02,-9.639443840e-02
9,3.459934290e-03,6.270478195e-02,-8.835423616e-02
9,3.479934290e-03,6.190076198e-02,-7.227383168e-02
9,3.499934290e-03,6.029272205e-02,-7.227383168e-02
9,3.519934290e-03,6.029272205e-02,-5.619342720e-02
9,3.539934290e-03,6.029272205e-02,-6.423362944e-02
9,3.559934290e-03,5.868468211e-02,-6.825373056e-02
9,3.579934290e-03,5.707664218e-02,-6.423362944e-02
9,3.599934290e-03,5.868468211e-02,-1.245351462e-01
9,3.619934290e-03,5.948870208e-02,-1.084547418e-01
9,3.639934290e-03,6.029272205e-02,-8.835423616e-02
9,3.659934290e-03,5.868468211e-02,-7.227383168e-02
9,3.679934290e-03,6.029272205e-02,-6.021352832e-02
9,3.699934290e-03,5.788066214e-02,-6.423362944e-02
9,3.719934290e-03,5.788066214e-02,-8.433413504e-02
9,3.739934290e-03,5.788066214e-02,-7.629393280e-02
9,3.759934290e-03,5.627262221e-02,-5.619342720e-02
9,3.779934290e-03,5.707664218e-02,-5.217332608e-02
9,3.799934290e-03,6.190076198e-02,-5.217332608e-02
9,3.819934290e-03,6.190076198e-02,-4.413312384e-02
9,3.839934290e-03,6.350880192e-02,-5.619342720e-02
9,3.859934290e-03,6.350880192e-02,-5.217332608e-02
9,3.879934290e-03,6.431282189e-02,-3.609292160e-02
9,3.899934290e-03,6.431282189e-02,-4.413312384e-02
9,3.919934290e-03,6.270478195e-02,-6.423362944e-02
9,3.939934290e-03,6.190076198e-02,-5.619342720e-02
9,3.959934290e-03,6.350880192e-02,-8.433413504e-02
9,3.979934290e-03,6.350880192e-02,-8.433413504e-02
9,3.999934290e-03,6.270478195e-02,-7.629393280e-02
9,4.019934290e-03,6.029272205e-02,-5.619342720e-02
9,4.039934290e-03,6.109674202e-02,-4.815322496e-02
9,4.059934290e-03,6.190076198e-02,-4.413312384e-02
9,4.079934290e-03,5.948870208e-02,-4.011302272e-02
9,4.099934290e-03,5.948870208e-02,-4.815322496e-02
9,4.119934290e-03,5.707664218e-02,-7.629393280e-02
9,4.139934290e-03,5.627262221e-02,-8.031403392e-02
9,4.159934290e-03,5.627262221e-02,-6.423362944e-02
9,4.179934290e-03,5.546860224e-02,-4.815322496e-02
9,4.199934290e-03,5.707664218e-02,-7.227383168e-02
9,4.219934290e-03,5.788066214e-02,-5.619342720e-02
9,4.239934290e-03,5.868468211e-02,-7.227383168e-02
9,4.259934290e-03,6.109674202e-02,-6.825373056e-02
9,4.279934290e-03,6.270478195e-02,-9.639443840e-02
